iter	Passed	Remaining
758	4608	1463
759	4613	1457
760	4619	1450
761	4625	1444
762	4630	1438
763	4636	1432
764	4642	1426
765	4647	1419
766	4653	1413
767	4659	1407
768	4665	1401
769	4670	1395
770	4676	1388
771	4681	1382
772	4687	1376
773	4692	1370
774	4698	1364
775	4704	1357
776	4709	1351
777	4715	1345
778	4721	1339
779	4726	1333
780	4732	1326
781	4737	1320
782	4743	1314
783	4748	1308
784	4754	1302
785	4759	1295
786	4765	1289
787	4770	1283
788	4776	1277
789	4782	1271
790	4787	1265
791	4793	1258
792	4799	1252
793	4805	1246
794	4810	1240
795	4816	1234
796	4822	1228
797	4828	1222
798	4833	1216
799	4840	1210
800	4845	1203
801	4851	1197
802	4857	1191
803	4863	1185
804	4870	1179
805	4876	1173
806	4882	1167
807	4888	1161
808	4893	1155
809	4899	1149
810	4904	1142
811	4910	1136
812	4917	1130
813	4923	1124
814	4929	1118
815	4934	1112
816	4940	1106
817	4945	1100
818	4951	1094
819	4957	1088
820	4962	1081
821	4968	1075
822	4973	1069
823	4979	1063
824	4984	1057
825	4990	1051
826	4995	1045
827	5001	1038
828	5006	1032
829	5012	1026
830	5018	1020
831	5024	1014
832	5029	1008
833	5035	1002
834	5041	996
835	5046	990
836	5052	983
837	5058	977
838	5063	971
839	5070	965
840	5076	959
841	5081	953
842	5088	947
843	5093	941
844	5099	935
845	5106	929
846	5111	923
847	5117	917
848	5123	911
849	5129	905
850	5135	899
851	5141	893
852	5147	887
853	5153	881
854	5159	875
855	5165	868
856	5171	862
857	5177	856
858	5182	850
859	5188	844
860	5194	838
861	5199	832
862	5204	826
863	5210	820
864	5215	814
865	5221	807
866	5226	801
867	5232	795
868	5237	789
869	5242	783
870	5248	777
871	5253	771
872	5259	765
873	5264	758
874	5270	752
875	5275	746
876	5280	740
877	5286	734
878	5291	728
879	5297	722
880	5302	716
881	5308	710
882	5314	704
883	5319	698
884	5325	692
885	5330	685
886	5336	679
887	5342	673
888	5347	667
889	5353	661
890	5358	655
891	5364	649
892	5369	643
893	5375	637
894	5380	631
895	5387	625
896	5393	619
897	5398	613
898	5404	607
899	5410	601
900	5416	595
901	5422	589
902	5428	583
903	5434	577
904	5440	571
905	5446	565
906	5453	559
907	5462	553
908	5469	547
909	5476	541
910	5482	535
911	5487	529
912	5493	523
913	5498	517
914	5504	511
915	5509	505
916	5514	499
917	5520	493
918	5525	487
919	5531	481
920	5537	474
921	5542	468
922	5548	462
923	5553	456
924	5559	450
925	5565	444
926	5571	438
927	5578	432
928	5584	426
929	5590	420
930	5596	414
931	5602	408
932	5608	402
933	5614	396
934	5620	390
935	5626	384
936	5632	378
937	5637	372
938	5643	366
939	5650	360
940	5656	354
941	5661	348
942	5667	342
943	5673	336
944	5679	330
945	5685	324
946	5691	318
947	5697	312
948	5703	306
949	5709	300
950	5714	294
951	5721	288
952	5727	282
953	5733	276
954	5739	270
955	5745	264
956	5751	258
957	5757	252
958	5763	246
959	5769	240
960	5775	234
961	5781	228
962	5787	222
963	5793	216
